"John_KJV" "Luke_KJV" "Mark_KJV" "Matthew_KJV"
"also" 0.28804860165497 0.339257488723544 0.158248714229197 0.202668468164161
"up" 0.246150623232429 0.250587917807163 0.316497428458394 0.223779766931262
"no" 0.329946580077511 0.196615135510236 0.309903732032177 0.190001688903901
"these" 0.319472085471876 0.254443116542658 0.164842410655413 0.215335247424422
"their" 0.0995076987535351 0.227456725394194 0.276935249901095 0.346225299780442
"at" 0.277574107049335 0.289139905162111 0.204404589212713 0.168890390136801
"her" 0.19901539750707 0.250587917807163 0.243966767770012 0.168890390136801
"answered" 0.403268042316958 0.0925247696518756 0.197810892786496 0.202668468164161
"go" 0.256625117838064 0.188904738039246 0.178029803507847 0.219557507177842
"therefore" 0.403268042316958 0.142642353213308 0.0923117499670315 0.206890727917581
"your" 0.193778150204253 0.212035930452215 0.0989054463932481 0.274446883972302
"we" 0.308997590866241 0.161918346890782 0.184623499934063 0.173112649890221
"day" 0.209489892112706 0.242877520336173 0.145061321376764 0.164668130383381
"now" 0.392793547711323 0.146497551948803 0.118686535671898 0.139334571862861
"should" 0.308997590866241 0.138787154477813 0.210998285638929 0.118223273095761
"because" 0.366607311197235 0.115655962064844 0.131873928524331 0.130890052356021
"many" 0.157117419084529 0.131076757006824 0.283528946327311 0.164668130383381
"men" 0.115219440661988 0.177339141832761 0.138467624950547 0.236446546191522
"behold" 0.0995076987535351 0.20047033424573 0.085718053540815 0.253335585205202
"heaven" 0.0995076987535351 0.119511160800339 0.112092839245681 0.320891741259922
"so" 0.183303655598617 0.138787154477813 0.15165501780298 0.206890727917581
"again" 0.28804860165497 0.107945564593855 0.19121719636028 0.122445532849181
"down" 0.172829160992982 0.231311924129689 0.118686535671898 0.122445532849181
"saw" 0.157117419084529 0.138787154477813 0.210998285638929 0.177334909643641
"us" 0.125693935267623 0.204325532981225 0.145061321376764 0.152001351123121
"house" 0.0523724730281764 0.223601526658699 0.197810892786496 0.152001351123121
"or" 0.057609720330994 0.138787154477813 0.184623499934063 0.244891065698362
"am" 0.366607311197235 0.100235167122865 0.0659369642621654 0.109778753588921
"away" 0.130931182570441 0.115655962064844 0.217591982065146 0.181557169397061
"know" 0.371844558500052 0.0771039747098963 0.118686535671898 0.0886674548218206
"sent" 0.298523096260605 0.131076757006824 0.105499142819465 0.0971119743286607
"forth" 0.141405677176076 0.119511160800339 0.164842410655413 0.194223948657321
"kingdom" 0.0261862365140882 0.173483943097267 0.138467624950547 0.236446546191522
"see" 0.19901539750707 0.146497551948803 0.112092839245681 0.143556831616281
"before" 0.120456687964806 0.185049539303751 0.131873928524331 0.143556831616281
"how" 0.125693935267623 0.154207949419793 0.184623499934063 0.139334571862861
"people" 0.104744946056353 0.223601526658699 0.15165501780298 0.101334234082081
"cast" 0.073321462239447 0.119511160800339 0.184623499934063 0.202668468164161
"heard" 0.172829160992982 0.119511160800339 0.164842410655413 0.135112312109441
"give" 0.125693935267623 0.165773545626277 0.112092839245681 0.152001351123121
"an" 0.073321462239447 0.146497551948803 0.158248714229197 0.177334909643641
"did" 0.204252644809888 0.0925247696518756 0.145061321376764 0.135112312109441
"let" 0.0837959568450822 0.131076757006824 0.158248714229197 0.164668130383381
"she" 0.120456687964806 0.158063148155287 0.204404589212713 0.0760006755615606
"world" 0.418979784225411 0.0385519873549482 0.0329684821310827 0.0760006755615606
"took" 0.0890332041478999 0.0886695709163807 0.178029803507847 0.190001688903901
"take" 0.104744946056353 0.10409036585836 0.17143610708163 0.147779091369701
"called" 0.115219440661988 0.138787154477813 0.085718053540815 0.152001351123121
"upon" 0.057609720330994 0.161918346890782 0.145061321376764 0.135112312109441
"great" 0.0314234838169058 0.146497551948803 0.158248714229197 0.156223610876541
"verily" 0.261862365140882 0.0308415898839585 0.0989054463932481 0.126667792602601
"whom" 0.225201634021158 0.10409036585836 0.0791243571145984 0.0886674548218206
"john" 0.0995076987535351 0.119511160800339 0.17143610708163 0.109778753588921
"against" 0.0314234838169058 0.142642353213308 0.17143610708163 0.135112312109441
"neither" 0.0837959568450822 0.127221558271329 0.125280232098114 0.139334571862861
"cometh" 0.214727139415523 0.0732487759744015 0.125280232098114 0.0886674548218206
"after" 0.130931182570441 0.11180076332935 0.138467624950547 0.0971119743286607
"any" 0.146642924478894 0.100235167122865 0.184623499934063 0.0675561560547205
"good" 0.057609720330994 0.123366359535834 0.085718053540815 0.177334909643641
"himself" 0.193778150204253 0.127221558271329 0.085718053540815 0.0633338963013005
"even" 0.136168429873259 0.0848143721808859 0.118686535671898 0.126667792602601
"two" 0.073321462239447 0.107945564593855 0.118686535671898 0.152001351123121
"made" 0.157117419084529 0.0963799683873704 0.0923117499670315 0.105556493835501
"peter" 0.167591913690164 0.0771039747098963 0.125280232098114 0.0971119743286607
"spake" 0.162354666387347 0.134931955742319 0.0725306606883819 0.0675561560547205
"may" 0.193778150204253 0.0848143721808859 0.105499142819465 0.0717784158081405
"might" 0.193778150204253 0.0848143721808859 0.0923117499670315 0.0802229353149806
"among" 0.120456687964806 0.107945564593855 0.125280232098114 0.0886674548218206
"other" 0.10998219335917 0.107945564593855 0.105499142819465 0.109778753588921
"hear" 0.0942704514507175 0.10409036585836 0.118686535671898 0.114001013342341
"days" 0.0523724730281764 0.142642353213308 0.125280232098114 0.0971119743286607
"more" 0.0995076987535351 0.10409036585836 0.112092839245681 0.109778753588921
"done" 0.0837959568450822 0.115655962064844 0.0923117499670315 0.118223273095761
"pass" 0.0209489892112706 0.223601526658699 0.0725306606883819 0.0633338963013005
"way" 0.0680842149366293 0.0925247696518756 0.15165501780298 0.118223273095761
"yet" 0.193778150204253 0.0771039747098963 0.0791243571145984 0.0802229353149806
"about" 0.0785587095422646 0.107945564593855 0.184623499934063 0.0675561560547205
"put" 0.0890332041478999 0.0539727822969274 0.145061321376764 0.143556831616281
"who" 0.115219440661988 0.11180076332935 0.105499142819465 0.0802229353149806
"eat" 0.0785587095422646 0.10409036585836 0.17143610708163 0.0717784158081405
"where" 0.183303655598617 0.0578279810324222 0.105499142819465 0.0802229353149806
"hand" 0.0628469676338117 0.0732487759744015 0.138467624950547 0.130890052356021
"jews" 0.350895569288782 0.0192759936774741 0.0395621785572992 0.0211112987671002
"than" 0.0890332041478999 0.0925247696518756 0.085718053540815 0.122445532849181
"art" 0.146642924478894 0.100235167122865 0.0725306606883819 0.0717784158081405
"life" 0.230438881323976 0.0578279810324222 0.0527495714097323 0.0633338963013005
"pharisees" 0.104744946056353 0.0809591734453911 0.0791243571145984 0.122445532849181
"whosoever" 0.0523724730281764 0.0809591734453911 0.0989054463932481 0.152001351123121
"would" 0.0995076987535351 0.11180076332935 0.0791243571145984 0.0928897145752407
"every" 0.0837959568450822 0.107945564593855 0.0593432678359488 0.109778753588921
"mother" 0.0471352257253587 0.0809591734453911 0.125280232098114 0.118223273095761
"first" 0.0628469676338117 0.0809591734453911 0.112092839245681 0.109778753588921
"hast" 0.188540902901435 0.0732487759744015 0.0197810892786496 0.0760006755615606
"believe" 0.272336859746517 0.0192759936774741 0.0725306606883819 0.0295558182739402
"name" 0.120456687964806 0.0848143721808859 0.0791243571145984 0.0760006755615606
"time" 0.0890332041478999 0.0886695709163807 0.0659369642621654 0.105556493835501
"another" 0.0837959568450822 0.100235167122865 0.0725306606883819 0.0886674548218206
"those" 0.0523724730281764 0.115655962064844 0.085718053540815 0.0886674548218206
